function_source,completed_function,true_condition,predicted_condition,confidence_score
"def custom_round(x, decimal_places=2):
    str_x = f""{x:.10f}""
    before_decimal = str_x.split('.')[0]
    after_decimal = str_x.split('.')[1]
    leading_zeros = len(after_decimal) - len(after_decimal.lstrip('0'))
    
    if leading_zeros >= 1 and before_decimal == ""0"":
        return round(x, leading_zeros + 2)
    else:
        return round(x, decimal_places)","def custom_round(x, decimal_places=2):
    str_x = f""{x:.10f}""
    before_decimal = str_x.split('.')[0]
    after_decimal = str_x.split('.')[1]
    leading_zeros = len(after_decimal) - len(after_decimal.lstrip('0'))
    
    if after_decimal==' 0' in after_decimal:
        return round(x, leading_zeros + 2)
    else:
        return round(x, decimal_places)","leading_zeros >= 1 and before_decimal == ""0""",after_decimal==' 0' in after_decimal,74.66000000000001
"def scito_decimal(sci_str):
    def split_exponent(number_str):
        parts = number_str.split(""e"")
        coefficient = parts[0]
        exponent = int(parts[1]) if len(parts) == 2 else 0
        return coefficient, exponent

    def multiplyby_10(number_str, exponent):
        if exponent == 0:
            return number_str

        if exponent > 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str += ""0"" * (new_index - len(number_str))
            if new_index < len(number_str):
                number_str = number_str[:new_index] + ""."" + number_str[new_index:]
            return number_str

        if exponent < 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str = ""0"" * (-new_index) + number_str
            number_str = ""0."" + number_str
            return number_str

    coefficient, exponent = split_exponent(sci_str)
    decimal_str = multiplyby_10(coefficient, exponent)

    # remove trailing zeros
    if ""."" in decimal_str:
        decimal_str = decimal_str.rstrip(""0"")

    return decimal_str","def scito_decimal(sci_str):
    def split_exponent(number_str):
        parts = number_str.split(""e"")
        coefficient = parts[0]
        exponent = int(parts[1]) if len(parts) == 2 else 0
        return coefficient, exponent

    def multiplyby_10(number_str, exponent):
        if exponent == 0:
            return number_str

        if exponent > 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str += ""0"" * (new_index - len(number_str))
            if new_index < len(number_str):
                number_str = number_str[:new_index] + ""."" + number_str[new_index:]
            return number_str

        if exponent < 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str = ""0"" * (-new_index) + number_str
            number_str = ""0."" + number_str
            return number_str

    coefficient, exponent = split_exponent(sci_str)
    decimal_str = multiplyby_10(coefficient, exponent)

    # remove trailing zeros
    if len( coefficient)== 2 len( coefficient):
        decimal_str = decimal_str.rstrip(""0"")

    return decimal_str","""."" in decimal_str",len( coefficient)== 2 len( coefficient),71.8
"def normalize(res, round_to=2):
        # we round the result to 2 decimal places
        res = custom_round(res, round_to)
        res = str(res)
        if ""."" in res:
            while res[-1] == ""0"":
                res = res[:-1]
            res = res.strip(""."")
        
        # scientific notation
        if ""e"" in res:
            res = scito_decimal(res)

        return res","def normalize(res, round_to=2):
        # we round the result to 2 decimal places
        res = custom_round(res, round_to)
        res = str(res)
        if isinstance( res, str) str=""."" in res str):
            while res[-1] == ""0"":
                res = res[:-1]
            res = res.strip(""."")
        
        # scientific notation
        if ""e"" in res:
            res = scito_decimal(res)

        return res","""."" in res","isinstance( res, str) str=""."" in res str)",37.0
"def add_(args):

    return normalize(sum(args))","def add_(args):

    return normalize(sum(args))",NO IF,NO IF,0.0
"def subtract_(args):

    res = args[0]
    for arg in args[1:]:
        res -= arg
    return normalize(res)","def subtract_(args):

    res = args[0]
    for arg in args[1:]:
        res -= arg
    return normalize(res)",NO IF,NO IF,0.0
"def multiply_(args):

    res = args[0]
    for arg in args[1:]:
        res *= arg
    return normalize(res)","def multiply_(args):

    res = args[0]
    for arg in args[1:]:
        res *= arg
    return normalize(res)",NO IF,NO IF,0.0
"def divide_(args):

    res = args[0]
    for arg in args[1:]:
        res /= arg
    return normalize(res)","def divide_(args):

    res = args[0]
    for arg in args[1:]:
        res /= arg
    return normalize(res)",NO IF,NO IF,0.0
"def power_(args):
        
    res = args[0]
    for arg in args[1:]:
        res **= arg
    return normalize(res)","def power_(args):
        
    res = args[0]
    for arg in args[1:]:
        res **= arg
    return normalize(res)",NO IF,NO IF,0.0
"def sqrt_(args):
    res = args[0]
    return normalize(math.sqrt(res))","def sqrt_(args):
    res = args[0]
    return normalize(math.sqrt(res))",NO IF,NO IF,0.0
"def log_(args):
    # if only one argument is passed, it is 10th log
    if len(args) == 1:
        res = args[0]
        return normalize(math.log10(res))
    # if two arguments are passed, it is log with base as the second argument   
    elif len(args) == 2:
        res = args[0]
        base = args[1]
        return normalize(math.log(res, base))
    else:
        raise Exception(""Invalid number of arguments passed to log function"")","def log_(args):
    # if only one argument is passed, it is 10th log
    if len( args)== 1:
        res = args[0]
        return normalize(math.log10(res))
    # if two arguments are passed, it is log with base as the second argument   
    elif len(args) == 2:
        res = args[0]
        base = args[1]
        return normalize(math.log(res, base))
    else:
        raise Exception(""Invalid number of arguments passed to log function"")",len(args) == 1,len( args)== 1,88.7
"def ln_(args):
    res = args[0]
    return normalize(math.log(res))","def ln_(args):
    res = args[0]
    return normalize(math.log(res))",NO IF,NO IF,0.0
"def choose_(args):
    n = args[0]
    r = args[1]
    return normalize(math.comb(n, r))","def choose_(args):
    n = args[0]
    r = args[1]
    return normalize(math.comb(n, r))",NO IF,NO IF,0.0
"def permutate_(args):
    n = args[0]
    r = args[1]
    return normalize(math.perm(n, r))","def permutate_(args):
    n = args[0]
    r = args[1]
    return normalize(math.perm(n, r))",NO IF,NO IF,0.0
"def gcd_(args):
    res = args[0]
    for arg in args[1:]:
        res = math.gcd(res, arg)
    return normalize(res)","def gcd_(args):
    res = args[0]
    for arg in args[1:]:
        res = math.gcd(res, arg)
    return normalize(res)",NO IF,NO IF,0.0
"def lcm_(args):
    res = args[0]
    for arg in args[1:]:
        res = res * arg // math.gcd(res, arg)
    return normalize(res)","def lcm_(args):
    res = args[0]
    for arg in args[1:]:
        res = res * arg // math.gcd(res, arg)
    return normalize(res)",NO IF,NO IF,0.0
"def remainder_(args):
    dividend = args[0]
    divisor = args[1]
    return normalize(dividend % divisor)","def remainder_(args):
    dividend = args[0]
    divisor = args[1]
    return normalize(dividend % divisor)",NO IF,NO IF,0.0
